43441263|Conservation of Natural Resources|D003247|2688|MH|||RC
43441263|*Gardening|D051639|1188|MH|RtM via: Gardening|TI|MM|986^7^0
43441263|*Probability|D011336|495|MH|RtM via: Probability|TI|MM|622^10^0
43441263|*Fund|D005376|381|ET|Entry Term Replacement for "Financial Management";RtM via: Funds;Forced Non-Leaf Node Lookup:fund|TI|MM|1135^4^0;951^4^0;432^4^0
43443166|Animals|D000818|57607|CT|Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild);Livestock;CT Treecode Lookup: B01.050.050 (Livestock)||MM;RC
43443166|*Trees|D014197|56607|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|1492^5^0;1249^4^0;1085^4^0;807^4^0;729^4^0;627^4^0;174^4^0
43443166|*Abies|D028202|30026|MH|RtM via: Abies grandis;Forced Leaf Node Lookup:abies;checkForceMH Boosted|TI|MM;RC|457^13^0;446^9^0
43443166|*Plant Weeds|D057685|25781|MH|RtM via: Noxious Weeds;Forced Leaf Node Lookup:noxious weeds;checkForceMH Boosted|TI|MM;RC|205^13^0
43443166|*Pinus|D028223|25534|MH|RtM via: Pinus contorta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM;RC|1529^14^0;561^14^0;577^14^0
43443166|*Wildfires|D000075923|25459|MH|RtM via: Wildfires;Forced Leaf Node Lookup:wildfires|TI|MM;RC|1629^9^0;433^9^0;61^9^0
43443166|*Grass|D006109|22993|ET|Entry Term Replacement for "Poaceae";RtM via: Calamagrostis rubescens;RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasses|TI|MM;RC|483^23^0;1608^7^0;1216^7^0;1143^5^0;665^5^0
43443166|*Animals, Wild|D000835|18488|MH|RtM via: Animals, Wild;Forced Leaf Node Lookup:wildlife;checkForceMH Boosted|TI|MM|783^8^0
43443166|*Livestock|D058751|17441|MH|RtM via: Livestock;Forced Leaf Node Lookup:livestocks;checkForceMH Boosted|TI|MM|796^9^0
43443166|*Introduced Species|D058865|15798|MH|Forced Leaf Node Lookup:non-native species;checkForceMH Boosted|TI|MM;RC|32^18^0;837^18^0
43443166|*Biomass|D018533|15376|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|1007^7^0;879^7^0
43443166|*Soils|D012987|12781|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|84^5^0
43443166|Washington|D014861|7855|MH|RtM via: Washington state;Forced Leaf Node Lookup:washington|TI|MM|381^16^0
43443166|*Forest|D065928|35280|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|347^6^0
43443166|*Conservation of Natural Resources|D003247|17697|MH|RtM via: Natural regeneration|TI|MM;RC|1090^12^0;812^12^0;734^12^0;593^12^0;179^12^0
43443166|Regeneration|D012038|1000|MH|Forced Non-Leaf Node Lookup:regenerations||MM|179^12^0;593^12^0;734^12^0;812^12^0;1090^12^0
43443140|*Ecosystem|D017753|33608|MH|RtM via: Ecosystem;RtM via: Habitat;Forced Lookup:ecosystems|TI|MM;RC|1484^10^0;385^17^0;1778^7^0;1013^7^0;1067^8^0;803^8^0
43443140|*Wetlands|D053833|15749|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM;RC|783^7^0
43443140|*Urbanization|D014507|9563|MH|RtM via: Urbanization;Forced Leaf Node Lookup:urbanizations|TI|MM|192^12^0
43443140|*Benchmarking|D019985|7885|MH|RtM via: Benchmarks;RtM via: Benchmarking;Forced Leaf Node Lookup:benchmarking;Forced Leaf Node Lookup:benchmarks|TI|MM|759^10^0;1510^12^0;1143^12^0;846^12^0
43443140|*Industrial Development|D000067896|7427|MH|RtM via: Industrialization;Forced Leaf Node Lookup:industrialization|TI|MM|209^17^0
43443140|*Bays|D061006|3623|MH|Forced Leaf Node Lookup:bay|TI|MM|130^3^0
43443140|*Goals|D006040|3623|MH|Forced Leaf Node Lookup:goal|TI|MM|653^4^0
43443140|*River|D045483|18513|ET|Entry Term Replacement for "Rivers";RtM via: Rivers|TI|MM;RC|1895^3^0;830^3^0;275^3^0;39^5^0
43443140|Conservation of Natural Resources|D003247|3658|MH|||RC
43443140|*Motivation|D009042|1617|MH|RtM via: Act Mood - Goal|TI|MM|653^4^0
43443140|*Government|D006076|639|MH|RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|312^10^0
43441266|*Pinus ponderosa|D041604|35747|MH|RtM via: Pinus ponderosa;Forced Leaf Node Lookup:ponderosa pines;checkForceMH Boosted|TI|MM;RC|428^14^0;92^14^0
43441266|*Ecosystem|D017753|18148|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM;RC|818^9^0
43441266|*Wood|D014934|5449|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|635^4^0
43441266|*Consensus|D032921|3478|MH|RtM via: Consensus;Forced Leaf Node Lookup:consensus|TI|MM|38^9^0
