CnE8YNEAAAAJ;Witness  Mojeremane;25652621
2QVHtgUAAAAJ;Matthias C. Rillig;41241914,20456525,20744061,30244571,27645952,23436159,23012723,24124040,42952365,40926886,24125438,24370160,24124079,24125015,newphytologist.197.4.1104,42951913,42951469,24129773,3547592,24121186,24124313,42952581,41500004,42952332
XZqgqQYAAAAJ;David  Beaune;40792993
OXjAnxgAAAAJ;Emeline  Pettex;40792993
0GbRgj0AAAAJ;Francesco  Bonadonna;40792993,25063250,24855111
KYxM_1oAAAAJ;Ryszard  Laskowski;10.2307/1938143,10.2307/3545738,10.2307/3545083
TvP5m6AAAAAJ;Richard B. Norgaard;3883825,20183468
1M-0JXAAAAAJ;Hafez Mohamed Hafez;40600015,27565666
-vIkq0YAAAAJ;Rachel  Muheim;20640489,4602065,30244840,3548167
pN3OMc8AAAAJ;Francisco Javier Diego-Rasilla;20640489
oE2nScAAAAAJ;Marcus T. Brock;40310197
4yHeiYgAAAAJ;Marc C. Albertsen;2995509,2474652,23387375
kwqPtgcAAAAJ;Robert J. Full;3883616,4540133,41319665,3884588,40306101,3884749,30163845,30163868,30158587,30163869,30158021
zzoC9FwAAAAJ;Joo-Hwan  Kim;23728105,43578328,3393500,23259353
WXakNI0AAAAJ;Bui Thu Ha;23728105,23259353
JltJlTAAAAAJ;Andrea L. Baden;43599342
pQK7PwsAAAAJ;Peter D. Walsh;30043161,2641752,2641805,4543442,2655746
Ntr38wYAAAAJ;Terry W. Henkel;20492524,30045436,4256773,4092096,20444932,20444877,3762190,23488830,10.2307/3761789,23055178,10.2307/3761252,10.2307/3761479,20619284,43924164,23489537,10.2307/3761937,27811076,20444972,23267541,10.2307/3762182
g_s1PzAAAAAJ;Steven J. Steinberg;20492524
XB7TdUcAAAAJ;Miguel  Clavero;23735939,40295148,41149694,29779645,40061960,40996120,3554487,41058795,40801921
89X56p0AAAAJ;José  Prenda;23735939,29779645,3554487
EmcE5y0AAAAJ;Johan  van der Molen;24715126,24715130
Xr8N9WMAAAAJ;Yan  Yu;43558241
cEK6MZsAAAAJ;Bernhard  Wehrli;1469749,20055319,3674127,40343363
bu4Mx2UAAAAJ;Özgür  Eminağaoğlu;20794600
uAeqp_gAAAAJ;Ali  Bilgin;20794600,23726950
E-I5YSUAAAAJ;Tapio  Sutela;23736209
PQbyj6MAAAAJ;Peter G. Wilson;23728160,3558428,23874288,40856291,23216738,20649559
zXeKiIoAAAAJ;Cristiano  Menezes;41414706
2W658PkAAAAJ;Patrícia  Nunes-Silva;41414706
5fY0Y6oAAAAJ;Tomer  Czaczkes;41414706
jczo8XUAAAAJ;Hans  Slabbekoorn;4535566,20640529,4536070,40863378,41317036,20869930
kmpk-3QAAAAJ;Mahajabeen  Padamsee;4123846,20444883,20444979
1ZexnpAAAAAJ;David Hibbett;4123846
tU_zoa4AAAAJ;Martin  Grube;4123846,20444805,10.2307/3762099,27770603,20752576,41412429,20444806
6xVKM3oAAAAJ;Conrad Schoch;4123846
ja5NutgAAAAJ;A. Elizabeth Arnold;4123846,27651135,20440610,2560020,25172933,4499106,40343419,10.2307/3761880,20444824,20445007,41693871,41151426,20752572,20444790,40926434
kVC-WmQAAAAJ;Jolanta  Miadlikowska;4123846,4123741,20444793,23055143,10.2307/3761919,20444790,27920462,40926434
nD3LYwEAAAAJ;Gi-Ho  Sung;4123846,23055149,20444790,10.2307/3762183,20444795
SWqysxoAAAAJ;Thorsten Lumbsch;4123846
93PeNdgAAAAJ;Kerry  O''Donnell;4123846,23267533,10.2307/3761172,10.2307/3761245,10.2307/3761650,10.2307/3761407,10.2307/3761588,20619147,23488815,10.2307/3761404,23488822,20752573,10.2307/3761222,20444777,10.2307/3761480,20619248,10.2307/3761403,10.2307/3761939,23267534,23489527
nCk172cAAAAJ;Paul  Diederich;4123846,20794110,10.2307/3760169,41151806
Ta-PrNoAAAAJ;Damien  Ertz;4123846,43491928
SULXiX0AAAAJ;Hiromi Nishida;4123846
muISNvEAAAAJ;Imke  Schmitt;4123846,41058860,20444790,3762255,10.2307/3762011
sCU9D10AAAAJ;Rebecca  Yahr;4123846,2656793,41819475,4033884
cCasYZcAAAAJ;Josep V. Planas;3884350
1V9M7eYAAAAJ; Encarnación Capilla ;3884350
PI41atQAAAAJ;Isabel Navarro;3884350
d8p9nygAAAAJ;Gerardo  Avalos;10.2307/2663973,2663948,30044952,4257173,25790829,4222412
MDYqmtcAAAAJ;Patti J. Miller;41417479,25599066
0ESwQagAAAAJ;Thomas J. Givnish;4131433,41922989,bullecosociamer.89.2.140,10.2307/2407945,10.2307/2408001,27651648,3061562,43495215,10.2307/1937085,10.2307/2657161,4499197,4640564,30137869,4218079,40213181,10.2307/3391391
PDxNXx0AAAAJ;Danilo D. Fernando;2445337,2475263,23662379
331bTz4AAAAJ;Jean-Baptiste  André;4601935,3449164,29783026
t3bQSt0AAAAJ;Christian  Peeters;4601935,25063643,4599859,10.2307/2388852
TrKYqaEAAAAJ;Pedro  Jordano;10.2307/2387996,30033872,25592704,10.2307/2937165,10.2307/1939863,27650664,10.2307/2657187,10.2307/3071803,23463822,2648450,40835468,27754338,40929259,40235245,10.2307/3545836,24033482,10.2307/3544762,40235616,10.2307/3565598,10.2307/3544018
LeP5ChkAAAAJ;Christof  Meile;1469675,24715349,41943289
E0Vw3FwAAAAJ;Philippe  Van Cappellen;1469675,20519861,1469659
p-icGdIAAAAJ;Tim  Stott;10.2307/1552492
RHugiWoAAAAJ;Ange-Marie  Risterucci;41922330
S-wrFKYAAAAJ;Pascale  Besse;41922330
LxepsVgAAAAJ;Scott  Rush;2446180,4221215,4221100
H4JGfYMAAAAJ;Timothy P. Yoshino;3883248,3884774
J8FwD7cAAAAJ;Daniel P. Costa;41417297,40863577,2387621,10.2307/2680171,3100073,10.2307/1940211,3505580,2693469,40931222,27696395,10.1086/665407,30158241,30158441,30163705,30160132,10.1086/515894,24874234,10.1086/664948,10.1086/515971,24871542
B1d82ZoAAAAJ;Eric  Wikramanayake;3061417
utJQzz8AAAAJ;Prithiviraj  Fernando;27650814
8McF3ocAAAAJ;Peter  Leimgruber;27650814
RyEoRMMAAAAJ;John L. Clark;2666505,23493264,24621151,41972369,41972486,41972301,41972426,41972482,41972372,41972298,10.1086/667229,23259337,10.2307/3392952,10.2307/3393166
x1TCDfQAAAAJ;Philip A. Wookey;1552572,1552186,25515792,42951528
dqeTRJUAAAAJ;Tanaka Kenta;4092073
rWnq5SEAAAAJ;Kentaro K. Shimizu;43578596,4629864
GqZRQ_cAAAAJ;Tohru  Nakashizuka;20492468,30043638,2656924,4122801,27742798,27650802,10.2307/3072098,40205529,10.2307/2266034,10.2307/1941595,10.2307/3071991,3237044,4092068,3236349,4092073,3236596,20050613,20050734,4217657,41429363,20050825,20050728,20051255,40005662,20146360,20146404,4222928
1LOSWCUAAAAJ;Hans Hanson;4314068,4297483,4300008
MidN70gAAAAJ;Attila  Hettyey;25063265,27823508,41414727,43599344
B99J0UYAAAAJ;Leonardo Dias Meireles;40792902,40980933
_6mKY88AAAAJ;Tomasz  Szara;23736969,23736970
3_z6RScAAAAJ;Kamil  Konowalik;23728262,43558334
kx8jBZQAAAAJ;Sònia  Garcia;23728262,41149428,23064583
fCNFQcIAAAAJ;Jaume  Pellicer;23728262,41149428,23064583
Pn1QAVoAAAAJ;Joan  Vallès;23728262,41149428,23486781,4256323,41242865,23064583,4256838,25133996,25134119,43496781,43496751
_Pe2zOkAAAAJ;Keith  Weston;24715127,24715118
edYklbgAAAAJ;Naomi  Greenwood;24715127
A9sUF04AAAAJ;John D. Taylor;3882940,4296082,20170453,20171511
PYAvZLMAAAAJ;Hilde  Nybom;3682196,23643513,23643001,23673689,23674391,23643118,23673758
xw4OXjoAAAAJ;Christian  Bay;24551711,3450781,3682549,3682151,3237373
-wHn7jMAAAAJ;Andrea  Lloyd;25094572
qjDZajsAAAAJ;Myriam  Valero;10.2307/2410738,10.2307/3546924
z10bfosAAAAJ; Barbara König ;4535669,4601965,4602128,4222814,4222280
tDcIlXYAAAAJ;Damien  Marage;25488440,40925552,40205724
MVqnhoYAAAAJ;Roslyn  Dakin;40295406
rSYZAn8AAAAJ;Michael  Owens;4314281
aqrgTUUAAAAJ;Jennifer A. Lyon;3298690,10.2307/1592043
u3Nh_ggAAAAJ;Atsushi  Ishida;2663864,27751625,40213240,20062236,4222788
Dr224jAAAAAJ;Takeshi  Toma;2663864
wDew_lwAAAAJ;Jerzy Falandysz;4314221
vCmHVWIAAAAJ;Kurunthachalam  Kannan;4314221,4314197
8GRceTEAAAAJ;Kevin A. Gould;2663770
0GUx854AAAAJ;Suzanne  McGowan;25053866,3450930,40296286
jpMLyFYAAAAJ;Scott F. Gilbert;3883160,4540170
M8n5g9EAAAAJ;Björn  Berg;3877775,10.2307/3544667,24120906,24124155
W0SpAvYAAAAJ;Matthew B. Jones;30033842,bullecosociamer.90.2.205
-_n_uGcAAAAJ;Shawn  Bowers;30033842
EsulgBMAAAAJ;Adam A. Pack;43599312,4536074
DAaCFIQAAAAJ;Patrick H. Martin;25547945,41241934,25595089,20143442,4640645,4092048
5svzRPkAAAAJ;Eric B. Liebgold;40295287,40931033,4497933
mpUxmUgAAAAJ;Benjamin  Kürten;24715129,24715128
j4oB6G8AAAAJ;Ulrich  Struck;24715129,24715128,24869674
bEGdIdYAAAAJ;Jack J. Middelburg;24715129,1469490,24715128,20456404,1469907,1468971,1469380,1469306,1469902,40061825,25622896,24874678,24871807,24866070,24841993,24855713,24866222,24856023,24864252,40235667,24869814,24873737,24875248,24871996
V8_nGxAAAAAJ;Eloisa  Lasso;30043134,30043034,10.2307/177282,4499138,23434658,40310113
lOHMjvYAAAAJ;Malcolm L. McCallum;bullecosociamer.91.3.363,40664956
VOODXq0AAAAJ;Ze-Long  Nie;4126195,4122774,3298519,27857352
8XDxJ28AAAAJ;Jacques  Roy;3558383,25652615,10.2307/2404472,41499939,20062241,3547688,4223426,24124228,3546395
TYv5v_YAAAAJ;Yu  Ito;27857331
hH6CXakAAAAJ;Tetsuo  Ohi-Toma;27857331,41922336
ufOILy4AAAAJ;Matthew  Jebb;10.2307/2388982,4535600,10.2307/4111166,10.2307/4118886,20649658
fXdzNyIAAAAJ;Lin  Schwarzkopf;4601860,25063767,4600716,25483675,43493757,3449281,2680291,25512172,10.2307/1940840,10.2307/1446037,27650921,10.2307/2409805,3892259,4092912,3893624,3892857,10.2307/1565487,3547074,40540172,23434651,4219833
mZnE3NgAAAAJ;Alan R. Nelson;4298315,4298122
TUgQVOYAAAAJ;David M. Hillis;2097147,2097123,10.2307/1446483,10.2307/1445197,10.2307/2409157,4621373,10.2307/1444220,10.2307/2408953,10.2307/1447356,10.2307/1444281,10.2307/1445187,10.2307/1446338,4126540,3449406,10.2307/1564578,3893280,10.2307/1563785,3892607,3892801,10.2307/1467045,10.2307/1466955,10.2307/1466947,10.2307/1563672,10.2307/1564130,3892213,3892047,10.2307/1467024,25145151,25621882
CiO7cMsAAAAJ;Raine  Kortet;25063673,23737034,4536371,41414750,25063880,41501763,3598991,40205517,40963465,41499900
fywuypwAAAAJ;Ann  Hedrick;25063673
JSE-ii4AAAAJ;Eran  Hood;4095892,20055237,40343570,40343520,40296306,3658908,40603631
4aCMcOQAAAAJ;Luis E. Marin;1468789
JFrpRBIAAAAJ;Wei  Wang;24039796
dScSgpUAAAAJ;Wei  Wang;24038999,40663749,24040006,24039796,24130454,41435631,41943292
z1HnhzsAAAAJ;Wei  Wang;24039796
Rc95UwkAAAAJ;Wei  Wang;24130454,41943292
QtvY1cYAAAAJ;Wei  Wang;40663749
QanwZ1wAAAAJ;Alistair J. Wilson;23500427
rXyq9EMAAAAJ;Ynte H. Schukken;23526711
0b-9cO0AAAAJ;Stephen C. Stearns;3882555,bullecosociamer.95.2.121,20166580,2096724,10.2307/2408495,10.2307/2408194,10.2307/1936681,10.2307/2408315,10.2307/2408273,2680426,10.2307/2408274,4627041,41503498,10.2307/3544434,10.2307/3544574,10.2307/3565561,10.2307/3565745,10.2307/3544261
MM3xdBEAAAAJ;Matthew  Cobb;4534525,4534485
7R-EE84AAAAJ;Shucun  Sun;40801692,43576446,41240441,20142841,43495230,23034991,40344029,23027663,20869988,25549258,20146342,3548275
gQ5eFoYAAAAJ;Deborah M. Finch;20167878,43443130,40062025,40664966,4223159
YNufMCAAAAAJ;Ling  Li;4300390,43784307,30138403,44177198
ZDyqczcAAAAJ;Abad  Chabbi;2656644
XRfL728AAAAJ;Benoit  Rivard;4125564,25164074,3674442
mIfJSBYAAAAJ;Olaf  Büttner;24715185
rC08emIAAAAJ;Silvia  Denham;41406769,23226694,23612313,10.2307/3393025
ytICbYQAAAAJ;Chris E. Johnson;1468950,1469168,1469863,40800606,41490465,1469396,10.2307/1941989,24432192,10.2307/3868336,3658633,41507788
9vSET_UAAAAJ;Na''ama  Morag;41414696
oCT_i-QAAAAJ;Ally R. Harari;41414696,41240756
3K3f8T8AAAAJ;Amos  Bouskila;41414696,23735751,25063760,23735750,10.2307/1940639,10.2307/1940730,3450307,3893567,3838427,4498617,10.2307/3545948
29QnckEAAAAJ;Tamar  Keasar;41414696,43599308
sD0w2fQAAAAJ;Sarah  Legge;4601735,4601813,3677623,2647270,3547162
VA_JWUgAAAAJ;Caitlin Gabor;4601683
ZoSt-uEAAAAJ;Patricia  Rosa;23254820
P2X0b9IAAAAJ;Jean-Michel  Harmand;40343607
YFZZ5BkAAAAJ;Matthias  Huss;20181713
ElxYUeIAAAAJ;Kimitaka  Kawamura;23359389
VGYHobEAAAAJ;Osamu  Seki;23359389
e14U4t4AAAAJ;James  Bendle;23359389
QImqKTwAAAAJ;Melanie  McClure;41414618
z6c5btkAAAAJ;Malcolm  Hunter Jr.;40864014
joghXT0AAAAJ;Jan  Pergl;4123703,4125590,40390718,20171983,40205712,40602953,3505855
1lOxensAAAAJ;Antonio  Lavazza;41417485
HAKTUcwAAAAJ;Martin  Hermy;4620517,4620410,4620444,20794608,4620416,1478917,20794594,4123169,bullecosociamer.84.3.128,20794668,10.2307/2679811,20696316,3683698,20068974,20440874,25134109,3450510,10.2307/2937213,3591132,3683834,3683862,4539946,3683452,23486810,30243248,3599699,3566310,3236576,4496050,40925552,25549244,3236903,20528836,25173144,3236650,827457,3237008,3072156,3236974,3505784,41058264,40859857,10.2307/3546872,24033492,23660149,20146536,20146696,41508777,20051347,42952704,23209434,10.2307/3544714,4223213,20146993,24129837,20147000,3548554
fPy2PVIAAAAJ;Douglas S. Darling;3882951
u3wIhGUAAAAJ;Yohan Pillon;4124663
bCo5ReQAAAAJ;Mark  Schildhauer;bullecosociamer.90.2.205
9mXcoHIAAAAJ;Francesco  Ferretti;20183477
7WNY5M8AAAAJ;Francesco  Ferretti;41414051
uiXucvUAAAAJ;Andrea  Sforzi;41414051
QLDtBO4AAAAJ;Sandro  Lovari;41414051,23737037,10.2307/2404794,4125081
voCquM8AAAAJ;Clifford S. Duke;bullecosociamer.94.1.118,bullecosociamer.92.1.61,3868851,10.2307/3868439
U7DCp2wAAAAJ;Job Kihara;4315848
l-xxOAwAAAAJ;Thomas  Kätterer;4315848,4315604,42950808
y6z3JT8AAAAJ;Carlos  Vale;30138741
9TrRfNMAAAAJ;Juha  Siitonen;23735804,23735502,20113279,40061757,20113262
XEwDS-AAAAAJ;Kevin  Hall;10.2307/1552592,10.2307/1550515
ZCz62rkAAAAJ;Jan  Boelhouwers;10.2307/1552592,41240419
Uq_QhzgAAAAJ;Kevin  Driscoll;10.2307/1552592
Y2xmWmsAAAAJ;Anssi  Laurila;4601338,23735581,25063750,23735948,23735670,3449451,27650793,27651281,43493756,27651684,3094718,3061598,3094719,3893606,2647199,3546406,10.2307/3546842,41686014,4223622,3547501,20445859,23434654,4223372,3547868,10.2307/3545621,23434625,10.2307/3545768,4223444
R0_pp84AAAAJ;Rui  Rebelo;bullecosociamer.95.4.451,43493756,4098602,1566171,10.2307/1565718,23434654,23253279
AxsOkqYAAAAJ;David  Edwards;4281077,4278359
19ilrNAAAAAJ;David  Edwards;4281077,4278359
pnCDvEgAAAAJ;Thijs van Overveld;4536314
tKKM9-4AAAAJ;George  Karabourniotis;2446367,27793122,4280455,24130326,41435105,43191086,24130036
KbKeaJoAAAAJ;Elena  Vanguelova;40980874
eB4APvgAAAAJ;Heljä-Sisko  Helmisaari;40980874,42949586,24130591,42939874,24124074
8JkbUioAAAAJ;Mikko  Olin;23735897
aZJZb_QAAAAJ;Ferenc  Horváth;24035809,40065985
s-xQv_gAAAAJ;Ferenc  Horváth;43519147,41245530,23012428
4616RJsAAAAJ;Ave  Suija;23727208
WM5fnpgAAAAJ;Sandrine  Isnard;27733454,41923040,10.1086/665821,10.1086/680595
II27EssAAAAJ;Håkan  Rydin;40927806,23726897,4201419,20788129,3237189,3072131,3879552,3682201,20528842,20146727,41413936,10.2307/3565573,10.2307/3565751,10.2307/3544935,40309938,40310164,10.2307/3544868,10.2307/3546089
vC6bRxYAAAAJ;Ester Gaya;4124130
DehSWr8AAAAJ;Stefan  Zoller;23253283,3762309,10.2307/3761919
pAH7ycsAAAAJ;Noa  Pinter-Wollman;40296123,23270633
51aniTQAAAAJ;Gary A. Lamberti;24715155,10.2307/1937823,10.2307/3071912,23501485,10.2307/1467121,40062106,41505895,4095538,10-040,10.2307/1468384,10.2307/1467401,10.2307/1467264,40792635,41318740,4499012,10.2307/1467509,4499034,10.2307/1467219,10.2307/1468241,4499029,10.2307/1467618,10.2307/1467807,20491185,10.2307/1467556,10.2307/1467806,40309767,40310011
5rNXfmMAAAAJ;Koen  Geuten;20794652
V7PMygwAAAAJ;Bahar  Shahnavaz;23252816
CCIVeq0AAAAJ;Lucie  Zinger;23252816
RaxDzuQAAAAJ;Sébastien  Lavergne;23252816,43576450,27896226,41739290,3450593,25623133,40925554,3548237,20062156
BmEFmqMOspoC;Roberto A. Geremia;23252816,41489111
qHKTzjEAAAAJ;Stephen R. Palumbi;2097324,10.2307/2411203,3448805,10.2307/2640937,3099997,3061663,10.2307/2409938,10.2307/2409417,3100004,25595117,40863342,4095422,3448999,20069048,10.2307/1941661,10.2307/1938520,24873054
1JjtS28AAAAJ;Garry R. Russ;4315729,29779650,10.2307/2269497,4493561,24856719,40005544,24835730,24856009,40859864,24873598,24868065
4RaKDygAAAAJ;Daniel E. Schindler;bullecosociamer.88.2.137,4315326,4315738,3449992,2387462,3451000,10.2307/3060985,23596803,3659047,10.2307/2269598,43677534,3658924,27651226,25661194,3450275,23253740,23597328,27651542,4543370,3658977,3658844,10.2307/3867962,27823745,3658614,10.2307/177143,10.2307/2269528,10.2307/2266104,10.2307/3060984,4220587,40606604,40005870,3547424,40235556,40234825,4221650,4223038,27759803
xkuCUu0AAAAJ;Qingguo  Huang;42912435
xDknq7cAAAAJ;Dabing  Zhang;41434330,20205844,41942715,20205995,41435325,41434598,41435695,41496299,20779754
sCsUKEMAAAAJ;Madhoolika  Agrawal;10.2307/2996276
r_Shl4sAAAAJ;Arnaud Van Wettere;4099114
MMPf5MMAAAAJ;Mathieu  Perret;4124163,4124188,4621406,23671348
oDRjPKgAAAAJ;Mathieu  Perret;4124163,4124188,4621406,23671348
afrW_OkAAAAJ;Hafiz  Maherali;20700388,4134810,4095400,3449029,3450284,25483622,10.1086/662656,4221802,4223111,41487932,4223619
tjMM1rcAAAAJ;Jacek  Radwan;4602189,4600869,40295296,4536132,4600621,4095226,4095426,24033811,2680433
uUG6smwAAAAJ;Ireri  Suazo-Ortuño;41058001,20183389
A96K_jwAAAAJ;David A. Bainbridge;bullecosociamer.87.4.335,20165994,20440644,43440853,43442520
ryOth9kAAAAJ;Prabhat Kumar Rai;25515816,4315670,4315856
JYHzsgMAAAAJ;William B. Sanders;4124098,2995606
Yjg8mScAAAAJ;Carmen  Ascaso;4094785,4097017,41489151
TkzVEMsAAAAJ;José Ramón Obeso;4219877,20062347,20146384,10.2307/3545839
UMghWewAAAAJ;Frank  Götmark;4599433,4601295,4600682,10.2307/3677045,4221571,10.2307/3544727,20062152,10.2307/3676301,10.2307/3675918,10.2307/3676297,10.2307/3676493,4223136,10.2307/3545993,10.2307/3546627,10.2307/3676365
jK2M5D8AAAAJ;Christer G. Wiklund;4599433,4599531,4314894,4599735,4600396,10.2307/1940731,10.2307/2265794,2647363,10.2307/5254,3697536,10.2307/3676837,10.2307/3676252,10.2307/3676633
cuXvFT0AAAAJ;Steven A. Ramm;23360150,41414715
2WBRFVIAAAAJ;Jari  Oksanen;23727656,10.2307/2679914,30243218,3235665,3237354,3237336,3236351,3236395,3236722,3236999,25173148,3236052,4499170,10.2307/2960633,10.2307/2261364,41500652,40305420
0-lcB1UAAAAJ;Wendy Ann Peer;43578228,24038867,4281531,41943277,4280368,23386005,4279918,25680811
jsdEWwYAAAAJ;Daniela  Sauer;20519847
ioWdyCkAAAAJ;Loredana  Saccone;20519847,23359751
kNP3EjcAAAAJ;Daniel J. Conley;20519847,4314993,41410546,1468511,41410604,4315813,25595061,40062145,24840608,24857344,24852255,24852275,4096816
0tbhItkAAAAJ;Michael  Sommer;20519847,24130925
4w3cWRgAAAAJ;Alexei V. Tiunov;30033802,4223414,40005384,20062208
CHxSTBkAAAAJ;Christian  Lexer;43576312,23463780,3448873,24032768,3449990,25758680
JpKpThAAAAAJ;Jan  Votýpka;23735856
45piEM4AAAAJ;Volker  Gerdts;41417472,25599105
VM_Na1AAAAAJ;Suresh K. Tikoo;41417472
sa9tp5AAAAAJ;Dona J. Stewart;4314508
aIIt4dcAAAAJ;Andrew C. McCall;27733201,20069254,3450358,27651597,40929047,3548732,24056429,23259758,40213207,20062536,23434709
x1fxsbMAAAAJ;Andrea T. Kramer;25766893,20183470,10.1086/674103,10.1086/678466
0FEptuMAAAAJ;Ben B. Chapman;40295596
RMCnVMYAAAAJ;Lesley J. Morrell;40295596,25063485,25063543,25063280,4125070,23434698
2u_JfawAAAAJ;Martin  Gullström;25547829,25515808,40235364,24872790
X3_vBBEAAAAJ;Yonglong Lu;4314507
pwmG7jEAAAAJ;David W. Krause;40035732,4524386,4523947,1305313,20627158,1304455,4524040,10.2307/1380867,4523439,1304242,4523997,1304266,1303997,1306005,4523898,4523458,4523928,1305749,1304763,20627133,10.2307/1381552,2400411
Dz3tM2YAAAAJ;Kristina Curry Rogers;4524699,20627121
LlEtm_sAAAAJ;Raymond R. Rogers;4523477,4524040,4133805,4524182,20627133,25609410,4096887,25609445
Ir4oq7kAAAAJ;Weixin  Cheng;10.2307/2937317,42951576,4221310,24128481,24121006
PYEqzAoAAAAJ;Erik  Björn;25547792,25547793
3SUu-okAAAAJ;Thomas  Caraco;2097001,4599559,4600390,4599384,10.2307/1937162,10.2307/1940641,10.2307/1936081,10.2307/1936082
PM3AxYwAAAAJ;Don  Faber-Langendoen;10.2307/2388682,10.2307/2996989,25595172,43188376
37y19qsAAAAJ;Daniel  Beltran-Alcrudo;27565785
-fxJCwcAAAAJ;Cynthia  Weinig;4131295,2680306,4621263,3448850,3691782
GkcOkqoAAAAJ;Juan J. Morrone;2097212,2673328,2673416,23641809,40305939,4092810,27743524,20487837,10.2307/2997650,827406,20143346,25010434,1549342,3566369,3566394,2656068,25010091,3838597,2846259,25010335,10.2307/2997806,25010197,3566370,10.2307/2845607,40961867,827533,3566244,41310233,43496765
JSDGui4AAAAJ;Kari-Matti  Vuori;23735702
E78uxhwAAAAJ;Ashley E. Hill;41319319,23274058,41318121
mufrCfEAAAAJ;Juha  Pykälä;4315420,3589093,20146686,40234953,40212868
iQowcd8AAAAJ;Adrian  Ares;27735090,25790842
5fYGB8cAAAAJ;Junior A. Tremblay;23735934
Hpaeq6gAAAAJ;Espen  Rimstad;41418383
uCnDC0UAAAAJ;Mikio  Nakazono;43578539,24028380,4279461,40066133
rVo0piwAAAAJ;C. Randal Linder;4123861
vNeXq6sAAAAJ;Yoshiko  Shimono;27793136
H1S326AAAAAJ;Akira S. Hirao;27793136,40962400,43576521
6yPKtLIAAAAJ;Swati  Dahiya;1592810
Vv6-gP8AAAAJ;Christian  Rixen;1552293,20181823,25652615,43578571,23596973,3505724,4499282,20062501,40310124,24128823,24370151,23434385
JeggYHQAAAAJ;Wilfried  Haeberli;1552293,10.2307/1552484,10.2307/1550561,4314732,4095842,4095843,25094581,41240399,10.2307/1550646,4540682
5Qb9PGcAAAAJ;Emily I. Jones;41414611
3uBkJ8UAAAAJ;Bruce W. Grant;3883756,20168121,10.2307/1937584,10.2307/1943171,30156174
T2OhLQwAAAAJ;Christian  Brannstrom;25515827
YWT2ZGwAAAAJ;Carel P. van Schaik;4534680,4599622,4601392,4536381,4534685,41510615,25063709,25063336,23500386,4600515,4601009,10.2307/2388775,4534569,40295411,25063510,2097183,2386692,41460055
skMSoe0AAAAJ;Maria A. van Noordwijk;4534680,4599622,4536381,41510615,23500386,4534569,40295411
vTckf6AAAAAJ;Amandus P. Muhairwa;40601156
F56dRSAAAAAJ;Malongo  Mlozi;40601156
be9P1iEAAAAJ;Takeshi  Ise;20456399
lNUFpOQAAAAJ;Edwino S. Fernando;2445791,2445857,10.2307/4110994,10.2307/4115681
RxLKcLUAAAAJ;Eija  Pehu;23782790
aPxUT_gAAAAJ;Richard M. Sharpe;20622014
lIk3KwQAAAAJ;Tobias  Wang;3883942,3883933,27751765,4540190,30158118,10.1086/668915,10.1086/648509,30166499,10.1086/515892,30158672,30161037
_2WjjaUAAAAJ;Saara J. DeWalt;30043084,24321735,30244624,4256197,40005533,20146984
yaCzprAAAAAJ;Guillermo  Ibarra-Manríquez;3558356,4257197,3591026,4255991,41761575,827361,3554735,10.2307/3391945,20051237
rHikh2wAAAAJ;David  Kenfack;41406758,40648247,41761712,10.2307/3393377,20406017,10.2307/4110920,24034408,41508819,24717378
3EJb4J4AAAAJ;Charlotte  Lindqvist;4122827,4256549,43558199,10.2307/4115813
BDQAIGgAAAAJ;Alicia  Mathis;4535145,25799785,4600595,41501780,4534835,10.2307/1445519,25140702,10.2307/1447352,41261844,10.2307/1565576,3893159,10.2307/1565280,3893228,3893544,3892707,10.2307/1565407,4219625
kmcJYh4AAAAJ;James M. Vose;4314516,20113131,40603428,4033748,20113128,20113132,40061904,20113135,10.2307/176671,23440925,4221957,42952375
242tFz0AAAAJ;Sin-Yeon  Kim;bullecosociamer.89.4.399,20640556,27784050,41499865
nIYpjooAAAAJ;Radovan  Václav;23735900,3677600,41499755,41489048,41489201
q6uGy_4AAAAJ;Pavol  Prokop;23737063,23254626,23737076,41489048,41489201
gxIyPcgAAAAJ;Pieter  Glasbergen;25547811
cfwxm0AAAAAJ;Daniel I. Bolnick;30033868,3449081,25661145,41460075,3449080,24032789,3448822,40793181,3449253,41240839,23034884,25140704,4627034,3449285,27650713,4485794,3884680
GK-0yuEAAAAJ;Bernhard  Schmid;43578353,4131425,2656649,2446344,23596990,41739617,23047064,10.2307/2641337,3094761,10.2307/1941724,25592654,25661067,24572017,25660980,10.2307/2410118,23435993,41722896,2640538,3449953,3683648,10.2307/2410246,4201343,3589177,3448775,10.2307/2260147,2560276,3505724,2648557,10.2307/2260008,10.2307/2260148,2648595,10.2307/2260149,2648679,2648678,2648407,2655893,20143486,4539210,40605396,2648658,4217343,10.2307/3544882,3547398,20445848,40210519,41500648,3548394,42950832,4222380,3548802,10.2307/3546288,40213105,10.2307/3546488,3547874,4222771,4222280,4223579,24033486,25681938,4221155,20445893
