CnE8YNEAAAAJ;Witness  Mojeremane;25652621
vKemMIgAAAAJ;Jessica  Gurevitch;20167055,bullecosociamer.93.3.187,2444452,10.2307/177059,3450501,4543435,10.2307/1938502,3683663,10.2307/1936866,10.2307/1938525,27860831,10.2307/2260895,3236398,3599426,4270018,4217424
tmvxcWgAAAAJ;Sönke  Johnsen;27823576,24033702,4540222,3884828,4485792,4540221
Z3QswmwAAAAJ;Walter  Hödl;41769663,40295477,4601666,40295973,20492491,23500431,23143952,10.2307/1447563,4095427,1448668,10.2307/1446358,25621886,3893452,3893582,10.2307/1565957,25621885,25599224,4215435
cmvzhhsAAAAJ;Gail  Richmond;4534074
IxBUSL4AAAAJ;Benjamin D. Sachs;4534074
GjUaGo0AAAAJ;J. Jordan Price;23034264,27743454,3061621,4621338,24033800,3677387,25662896
NMyfnvYAAAAJ;Thomas  Speck;3558338,4123125,4126129,221709,4123129,40931202,2475244,24037442,23696543,10.1086/668791,IJPS41354,23387799,23385898
idazKYwAAAAJ;Annemarie  Surlykke;40962429,23270644
x6ZDUhQAAAAJ;Lee A. Miller;4536246,4601711,10.2307/1379580
KFuzlLgAAAAJ;Jakob Christensen-Dalsgaard;3893420
nnIeCVwAAAAJ;Albert  Lee;27975361
05rf7vAAAAAJ;Imam  Basuki;25547818
hPDWZhsAAAAJ;Hari  Priyadi;25547818
mlhTy7YAAAAJ;Charalambos P. Kyriacou;3883733
JSkvwMsAAAAJ;Michael G. Ritchie;3883733,30033853,25063515,4621390,24033834
QeWJoLoAAAAJ;Jukka  Jokimäki;23737169,43923481,3683530,3683093,10.2307/3677099,827364,3554549,827249,40005591,41686035
Le5_Xb8AAAAJ;Klaus  Kaiser;1469823,4151464,1469897,41151233,42952915,24370173,42952719,20062171
E2uopXkAAAAJ;Tanaka  Kenzo;27733238,40213118
RDNLLLwAAAAJ;Juliana  Rangel;25063324
anDgQr0AAAAJ;Kentaro  Kazama;40792930
HCPuDwwAAAAJ;Anna A. Sher;bullecosociamer.89.4.368,4124159,2641526,10.2307/3060987,40005694
BvMrhngAAAAJ;Nicholas  Lancaster;10.2307/1552490
39bOzs4AAAAJ;Clemens  Schlindwein;43578005,IJPS41363,23643116,43558181
DctXy0YAAAAJ;Paul  Keddy;20167380,20167794,20167177,10.2307/2269420,20440549,2648448,3237043,10.2307/3546593,10.2307/3546197
H20zfGAAAAAJ;Douglas F. Fraser;bullecosociamer.94.3.260,4600082,41414073,10.2307/1938148,10.2307/1940172,10.2307/1934813,3450197,23436267,10.2307/1936749,10.2307/1939877,10.2307/176638,10.2307/2680101,10.2307/1939943,10.2307/1937549,10.2307/1936431,4216172
GOX87G0AAAAJ;Sheng  Zhou;23526448
PYwqgtgAAAAJ;Chan  Ding;23526448,41319354,23526430
mwGPndYAAAAJ;M. Altaf Arain;20456554,newphytologist.194.3.775
b3e5EqkAAAAJ;Richard  Wrangham;10.2307/2388805,4536535
JInOpYoAAAAJ;Christian Hauck;4095903
s1SoCpoAAAAJ;Chai-Ting  Lee;4131364
RmMF3vMAAAAJ;Martyn  Tranter;24551601,27646118
MEwGKCIAAAAJ;Fernando  Nicolalde-Morejón;30219376,40648244
rQf4yDAAAAAJ;Jeffrey W. Lang;3882257,3883495,10.2307/1446363,10.2307/1443728,3893413,3893037,10.2307/1565569,30163919,10.2307/3546448
KS0LUE8AAAAJ;Kjeld C. Engvild;23373387
sfIJc2EAAAAJ;Susan W. Herring;3882838,3883893,10.2307/1379040,10.2307/1380787,23016067
tnR58sAAAAAJ;Raymond L. Tremblay;2807610,25134138,25134143,3072306
hfxQOgMAAAAJ;Andrea  Vajda;40305845
WuBzxpYAAAAJ;Tibor  Papp;40983048,20460579
2_qJz-4AAAAJ;Jawad  Nazir;40983048,40601147
rZd8Tc0AAAAJ;Mohamed M. El-Gazzar;23322260
i9NxBmUAAAAJ;Zheng  Wang;4126141,4125567,41151805,20752601,20444794,20444740,10.2307/3762085,10.2307/3761715,10.2307/3761943,10.2307/3762086
sSu9LxoAAAAJ;Manfred  Binder;4126141,4123846,4125567,29783016,41151805,43923671,23253135,10.2307/3761822,20444837,20752578,20444740,10.2307/3761759,20444786,43923708,10.2307/3762085,20445028,10.2307/3761848,10.2307/3761715,10.2307/3761943,10.2307/3762086,10.2307/3761826,10.2307/3762113
pqdP9MUAAAAJ;Susan E. Riechert;4535691,10.2307/2989621,41414067,2096979,4600827,4601080,4600825,40295541,4599163,3883386,4599267,10.2307/2641124,10.2307/1938281,10.2307/1937212,10.2307/3637,10.2307/3534,10.2307/3404,4219084,10.2307/3545261
RdPjKVIAAAAJ;Amber E. Budden;40295332,4601917,20441015,20440793,30244832,20062332
wWJd5aEAAAAJ;Jonathan  Wright;25063430,4600784,4601700,4535797,4601917,4602108,4600326,4535011,4601474,10.2307/3677319,3505283,10.2307/3676977,20143206,10.2307/3677250,10.2307/3677187,3505406,30244782,10.2307/3546344,3548561
8LZDHMQAAAAJ;Patrik  Lindenfors;4602126,3448718,30137904,4539131
kI1W-nAAAAAJ;Birgitta S. Tullberg;4602126,41465311,3448994,24033638,10.2307/3546259
6QjGw7oAAAAJ;Martin Biuw;4602126
eEKujzAAAAAJ;James P. Hurley;1469527,1469328,1469331,1469329
Or1PgSoAAAAJ;Tit-Yee Wong;3882992
VxzwHZcAAAAJ;Janis  Antonovics;2442266,10.2307/2395303,2096915,2656891,2445250,30033785,10.2307/2407887,3449047,10.2307/2408467,10.2307/2407497,10.2307/2408466,3449267,10.2307/1937819,10.2307/2408200,10.2307/2407471,10.2307/2408531,10.2307/1936413,10.2307/2408367,10.2307/2408121,10.2307/2408550,10.2307/2680117,3107853,2475081,10.2307/2259864,10.2307/2258352,10.2307/2260456,10.2307/2260399,10.2307/2261502,10.2307/2261527,10.2307/2960528,10.2307/2261415,10.2307/2261701,4217941,4217499,4218855,4218733
j2sRczYAAAAJ;Gwenaël  Abril;1469903,24716794,20055234,24865103,24867067
MIVjvlcAAAAJ;Mario  Bretfeld;23728129
5UR9TuoAAAAJ;Gregor  Barclay;23727133,23267392
zJ-NSzEAAAAJ; Håvard Steinshamn ;4315662
VVwBugYAAAAJ;Sissel  Hansen;4315662,1469589
WoYFsJsAAAAJ;Juliana  de Paula-Souza;3218441,23018475
pKhJZxAAAAAJ;William J. McClintock;4601200,25512165
_UCUpHMAAAAJ;Dietrich  Hertel;41241914,20492481,25622868,43677539,27823733,42952476,24122601,24129876,42951966,24129063,40310118
SThHxqkAAAAJ;Lars  Köhler;41241914,40305572,40212985
