v2EuowUAAAAJ;Suzanne  Prange;4498750,23259911,1383946,40662715
yWW1slAAAAAJ;Hiroaki Karasawa;4540274
UYZfTfsAAAAJ;Colin D. Rennie;27752795
Fu6YxXgAAAAJ;David F. Sherry;10.2307/3677318
J6DSGDMAAAAJ;Alexei V. Abramov;1383913
oWzCI30AAAAJ;Troels  Aagaard;4298264,4299051,43752397,4300284,30138681,4299464,30138533,4297379,25736279,4297566,4297896,25735727
6EapkWgAAAAJ;Elena M.  Kramer;4124882
Z2z8_24AAAAJ; Aurélie Coulon ;4123801
kKpxHkgAAAAJ;Maurizio Ramanzin;4123801
KkPgtxEAAAAJ;Gustavo Yomar Hattori;1549900,4094215
1Lda4EcAAAAJ;Stephen D. Johnston;43287316
agdgm14AAAAJ;Mark  Belchier;1549930
LhE56SQAAAAJ;Terje  Svåsand;1549930
vnVCpIoAAAAJ;Holger  Gärtner;24130641,24130764
EFdmzyYAAAAJ;Liang  Chen;20205844,20779752
Z_WIt90AAAAJ;W. Wyatt Hoback;20789569,23780092,23780127,20621954,41759714,41681235,25822713,25086441,25473424,10.2307/1467437,43287119
hR-UhV8AAAAJ;Fernando  Tuya;40793140,24869030,24873887,24870134
9UndIrUAAAAJ;Shannon B. Martin;4299399,3893557
X6QM-qkAAAAJ;Chidambaram  Parameswari;40981324
Z9SWhkEAAAAJ;Jean-Michel  Guillon;3599536,40310096
FwNf2q4AAAAJ;Christian  Kappel;24039453,24038705
vwVL-0oAAAAJ;Virginie  Lauvergeat;24039453,24036789,23385187,4277538,4282072
yGjk2M4AAAAJ;Eduardo G. Martins;4094260,4539202,25145080
KgphAMMAAAAJ;Jerry H. Scrivner;1383141
-s8LPS8AAAAJ;Peter E. Isaacson;1304552,1306761,1304249,1303825,1303551,1306256,1303607
yrSnEs8AAAAJ;Radovan Borojevic;4294461,4294376,4296007,4295793,4296448
ItCJ7bAAAAAJ;Mar  Royuela;3227149
KhXi_z0AAAAJ;Yves Caubet;4540268
b56eZmgAAAAJ;José Carlos de Melo Bernardino;44072527
HuCDIDoAAAAJ;Luc  Bijnens;10.2307/5359
xDpmYRQAAAAJ;Joris J. Benschop;23697187,4356647,40065450,4278481
pkTaKSgAAAAJ;Mark M. Murray;25160222,23016054
Vwi73BMAAAAJ;A.  McLeod;24722465
gZp4JssAAAAJ;Jeffrey C. Long;10.2307/1383080,10.2307/1382894
0j7ycl0AAAAJ;M.  Anis;20461645,20461540
w5QKmCYAAAAJ;Antony Joseph;4299081
S3UXMiEAAAAJ;Hans G. Drexler;4294245,4294372,4294135,4295310,4295334,4295311,4295002
Knuv-okAAAAJ;Herbert J. Kronzucker;24036541,24036100,23697447,42952596,23387833,23383471,43564323,24130759,23386188,41812045,4278707,23383472,23383470
BkOLAkoAAAAJ;Benjamin  Bomfleur;10.1086/678087,10.1086/660188
u6lSd0sAAAAJ;Michael  Westerman;10.2307/1382351,10.2307/1383028,4498710
52ED73IAAAAJ;Shiang-Lin  Huang;41315706,40665248
exX7FQ8AAAAJ;Chun-Chieh  Wang;41315706,40665248
tWeNLDsAAAAJ;Beatriz M. Januzzi Mendes;4293491
r6lJdhUAAAAJ;Ole William Petersen;20460122
98V-o3MAAAAJ;Thorarinn  Gudjonsson;20460122,20869539,40205819
TYtNw3cAAAAJ;Carlos Arturo Navas;1565772
gNu_AeEAAAAJ;David L. Fox;2656087,40205726,10.2307/3515605,4096822,27670478
1l1ReakAAAAJ;Minghong  Chen;25737420
gchj_6eqkMYC;Stuart  Parsons;1383359,27755180,10.2307/1382956,4126901
tX90Hm8AAAAJ;Gislene L. Gonçalves;27755088
TVfLgPAAAAAJ;Miguel D. Mahecha;30137891
SdKPEiEAAAAJ;Mark  Bothwell;4294239
UF5DBC0AAAAJ; Vlasta Ćosović ;4498861
6PTVUSYAAAAJ;Yoshiko  Toyosawa;24037490
CqZU3LoAAAAJ;Akio  Miyao;24037490,24038863,41943268,4281319,20205670,40065597,4281697
1uNTmdgAAAAJ;Itay  Gonda;24038665
SAIiO3EAAAAJ;Shimon  Gepstein;24038665,4271371,4268280,4273344,4279532,4266900,4269385,4271609,4280182,4277401,23374612,4269295
EtNQmfUAAAAJ;James J. Giovannoni;24038665,24038646,24039517,24038711,41812039,4280744,4273326,4276469,41435611,40066016,43191267,40537615,41549925,4629823,4278813
AheiXIgAAAAJ;Efraim  Lewinsohn;24038665,24037708,24038636,4281564,4273554,4356724,23386519,4280622,4279680,4273555,23388958,41434150,4268866,4280182,4281056,4280202
zGBJpqYAAAAJ;Christelle  Dutilleul;24028370,4281842,40066022,4280886
Ot03feMAAAAJ;Guang-Hui Xu;4094899
CIV4BjwAAAAJ;Songzhu  Gu;4094974,4133793,1307194,4095063,4095163
0-WKdAoAAAAJ;Yuxi Jin;4094974,4133793
8Wjm8I0AAAAJ;Gail L. Chmura;4300165,4298501,43215726,41315867,43289985,3687605,24868067
UFrKT1QAAAAJ;Ling  Tao;20541028
