nMaai80AAAAJ;Staffan  Bensch;4601734,4600534,4601749,4536171,25063747,25063458,3449353,10.2307/177429,10.2307/2410095,10.2307/2640451,3449387,10.2307/5875,30244777,3677766,3677599,30243289,3505527,10.2307/5418,4125100,3893498,30244458,3547714,40309747,10.2307/3676481,4223202,41500006,40235321,23434623,10.2307/3676722,10.2307/3546219
4Y-8SP4AAAAJ;Dennis  Hasselquist;4601734,20640504,40645523,43599338,4602220,4314886,4600534,4601749,4536171,25063747,20799555,25063458,4601591,10.2307/177429,10.2307/2410095,30244777,3677599,3505527,10.2307/5418,10.2307/3677191,4125100,30244458,3547714,40309747,4222610,4223202,4223157,20445857,10.1086/670194,40210592,40235321,10.1086/674789,10.2307/3676722,10.2307/3546219,4222336,4223684,4223656
Hk-YJB8AAAAJ;Kathryn M. Docherty;41490545,41490540,25153390
WyUOBkYAAAAJ;Carin  Magnhagen;41414656,4535127,25511610,23500487,23735624,23735636,25063532,4314841,40645530,4535114,20445874,10.2307/3544374,10.2307/3544479,10.2307/3565707,4216835,24827716
oJNu14wAAAAJ;Jonathan J. Cole;221717,2097070,1469402,4314870,1468654,1469678,20456501,41410585,1468734,41151239,3659062,10.2307/2266032,25470413,3658916,25470324,10.2307/3099987,3658830,41505923,10.2307/177085,3658766,10.2307/3544393,40310203
K1NTcYEAAAAJ;William A. Searcy;40295145,4535363,25063808,4600533,27823504,40792941,3883737,2097007,4536559,4536109,4599762,4599827,4601476,4599679,4535548,4534116,4600602,41414560,41414697,4534175,2097062,4601824,4600454,10.2307/2407788,10.2307/3677226,10.2307/3677088,3677440
DF_aKa0AAAAJ;Rindy C. Anderson;40295145,25063808,27823504,4536559,20640507
A1NhsZgAAAAJ;Stephen  Nowicki;40295145,25063808,4535352,27823504,40792941,4536559,4599430,4536109,4601476,4620130,4599595,4600950,4535548,41414560,4535202,4601824,3677440
Y2g8JW8AAAAJ;Jasper  Knight;41417404,30002177,43290939,30002446
Dwwzu7cAAAAJ;Stephan  Harrison;41417404,20181821,10.2307/1552233,24708987,30002540
thf61A0AAAAJ;Wesley Rodrigues Silva;30043276,27751646,25172916
e0zDGRMAAAAJ;Ivan  Sazima;10.2307/2387882,10.2307/2387923,10.2307/2388746,10.2307/2388012,10.2307/2388020,1448268,10.2307/1446274,10.2307/1446458,10.2307/1444157,10.2307/1447712,10.2307/1446315,10.2307/1562910,10.2307/1379699,3893367,10.2307/1379448,25209086,23255793,3892832,10.2307/1379959,10.2307/1380238,10.2307/1566201,10.2307/1563182,43287387,10.2307/1564972,10.2307/1565592,10.2307/1564072,23674225,23643178,23674860
qFFX_9KiimwC;Sean  O''Donnell;4535518,25063228,20492572,4601176,10.2307/2388911,25511639,3593178,30043241,4536023,27823485,4539160,25085777,2559204
