LkLCmQwAAAAJ;William C. Clark;24114051
jxEIvbkAAAAJ;Lora E. Fleming;24113159,23469596
wHWIrvoAAAAJ;Joseph D. Kiernan;23213950,41722867
CcmJ8H0AAAAJ;Zen  Faulkes;20107638,41315703,44324448
HdTWzOcAAAAJ;Peter  Hambäck;3588999,10.2307/3546651
jK3K8LkAAAAJ;Angeles G. Mayor;27823738
3UaVYEYAAAAJ;David  Hiebeler;10.2307/177312
NsW7MycAAAAJ;Jake M Ferguson;43187724
EfLtwKIAAAAJ;Chandra Prakash Kala;3591249
RhzW-_MAAAAJ;Gab  Abramowitz;23501437
ggNcGJgAAAAJ;Yoshihisa  Suyama;41489222,3762365,23267468
9HFsQ3EAAAAJ;Lotfi  Rabaoui;20111407
QVd2yLMAAAAJ;Oum Kalthoum Ben Hassine;20111407
jpUEBpcAAAAJ;Mei  Sato;20107539
SeeWXS8AAAAJ;Victor B. Flatt;24114598
Jo2z99EAAAAJ;Jolanda  Roux;41151807,23055289,23267544,43924155
VmQg8kwAAAAJ;Gabriela  Aguileta;27811080
UysZ3QcAAAAJ;Cameron  Freshwater;43494738
PCS_R5sAAAAJ;Stephanie M. Juice;20069067
RZgF878AAAAJ;Rakesh  Minocha;20069067,42950771,41495823,42948034,41499950
4c70boEAAAAJ;Yerlan  Turuspekov;3061612
2IBb6gcAAAAJ;Diego Bernal;4098629
QWS2SvIAAAAJ;David  Archer;10.2307/1941980
PrtqQ0QAAAAJ;S. Luke Flory;27695966,40960918,41686254,40213285,40606971,20146911
zRRcGk4AAAAJ;Joe  Fargione;3450345
v-eJ1A4AAAAJ;Clarence  Lehman;3450345
XPtQjLsAAAAJ;Uwe  Rascher;24038285,23028854,4281417
UdeYf6MAAAAJ;Sepideh  Zolfaghar;41413971
YFzUsMQAAAAJ;Chase D. Mendenhall;43494969,40983807
q50JePMAAAAJ;Anna  Bednarska;40306261
esx0gc0AAAAJ;Carla J. Dove;25595170,24875705,10.2307/40166844,3858628
gUSVfq8AAAAJ;Gregory A. Henkes;25595170
Vh2Mm_UAAAAJ;Piippa R. Wäli;23435972,40309850
-IK6N6kAAAAJ;Sharon J Hall;43187683
zKNhDfAAAAAJ;Kelli L Larson;43187683
C2-aqegAAAAJ;Jennifer L Morse;43187683
VGGz-5gAAAAJ;Jarlath  O''Neil-Dunne;43187683
m6OSLtAAAAAJ;Colin  Polsky;43187683,23280340
xJNrPWsAAAAJ;Rinku Roy Chowdhury;43187683
Y5zXrpEAAAAJ;Meredith K Steele;43187683
lRs0QP8AAAAJ;Nancy  Shoemaker;3986115
g6I8PfwAAAAJ;D. Max Smith;40062025
PMBaKoAAAAAJ;Joseph J. Delfino;24319974
5s0jG4wAAAAJ;Joana  Figueiredo;23436268,20487765
LwGyIpEAAAAJ;Dawn  Vaughn;27651192,40863405
gUzWBPkAAAAJ;Wesley  Hochachka;10.2307/1938265,10.2307/5427
zABzj78AAAAJ;William E. Dietrich;27646132,20491131
6WJ7GfQAAAAJ;Manuela  Schmidt;25483626
i8d7x1AAAAAJ;Martin S. Fischer;25483626
I4kGx7EAAAAJ;Bruce A. McDonald;25150753,23489531,27920476
oHXnsCEAAAAJ;Scott T. Kelley;10.2307/2411346
rP9c4msAAAAJ;Meagan  Small;24321597
I2FlDtkAAAAJ;Bo  Tao;41239258
a1SxHDkAAAAJ;Yufang  Jin;23213966
4pSBwg8AAAAJ;David N Bonter;41811394
u_8QSSQAAAAJ;Seth H. Miller;25660994
ikjYk44AAAAJ;Fernando L. Mantelatto;27753958,40927835
Km_YTIsAAAAJ;Héctor  Suárez;1549939
osORYo4AAAAJ;Robert I. Hamilton;23786836,23695790
9yn2v0AAAAAJ;Hugo  Naya;23463807
TuwejFEAAAAJ;Bruno  Frédérich;40863440
V6TZLLkAAAAJ;Gilles  Lepoint;40863440
BEBQaL8AAAAJ;Michel  Starr;24858372
HsANfMoAAAAJ;Jonathan  Millett;23264877
WNtqdy4AAAAJ;Jason  Newton;23264877,3677703,40605842,3838482,3838412,25623143,40210631,24874418
YfXwgyAAAAAJ;Yevgeniy  Raynes;23262073
5rjUPC0AAAAJ;Matthew R. Gazzara;23262073
DaZ-m4YAAAAJ;Benoit  Jobin;10.2307/2641092
cAz_bBAAAAAJ;Veerle  Van den Eynden;4256742,10.2307/3393173
BtPpci8AAAAJ;Omar Cabrera;4256742
YxgkmjoAAAAJ;Janis  Dickinson;3450664
83ESHacAAAAJ;Peter  Houde;3449409,20144177,1304763,4524581
onOuXAcAAAAJ;Riin  Tamme;43494363,24033425
19Y6j3oAAAAJ;Thomas  Cornulier;3683485,24871901
7D7_4KMAAAAJ;Henry  Lin;41413035,42952737,42951878
x5Sau-kAAAAJ;Iain J. Davidson-Hunt;27654141
FKf45_cAAAAJ;Benjamin  Hofner;23034822
pfde9WAAAAAJ;C. David Rollo;10.2307/1937685,10.2307/1943169
QOv2ykwAAAAJ;Elizabeth G. King;10.2307/1565402,3893325
GbE4S4gAAAAJ;Elizabeth G. King;41240818
bwjK8FgAAAAJ;Greg  Fiske;3591153
lGRNzKAAAAAJ;Sebastian  Dewhirst;25592625
Mde9RUAAAAAJ;David  Engle;10.2307/3868361
eJz46kAAAAAJ;Andy  South;2641737
3lBnCaoAAAAJ;Sumanta  Bagchi;41416771,27654213
ECuFa5cAAAAJ;Thomas  Wiehe;24032828
Gd11LaQAAAAJ;Hongqing  Wang;23486538,43289882,23486535
SKx0niUAAAAJ;Rob  Alkemade;40603501,24825556
92VH_cUAAAAJ;Lera  Miles;40603501,3554910,3697460
SbRSEvQAAAAJ;Robert W. Heckman;23435941
8FNOr80AAAAJ;Kristina  Schierenbeck;23435941,41425782
-BIyUfsAAAAJ;Rieks  van Klinken;23435941
DZfmF2IAAAAJ;Yusuke  Fukuda;40062013,43287306
e325qscAAAAJ;Thibaut  Jombart;30244662
wKGvOG4AAAAJ;Anne-Béatrice  Dufour;30244662,40235693
frGNqaAAAAAJ;Jenny  Ask;10.1899/12-005.1
qWIGffAAAAAJ;Susan S. Andrews;10.2307/3061079
Ax-5YBIAAAAJ;Brian A. Gill;10.1086/674526
zhhAQ2oAAAAJ;N.  LeRoy Poff;10.1086/674526
ombV31sAAAAJ;W.  Chris Funk;10.1086/674526
g2NEJfsAAAAJ;Kevin  Beach;24321163
IgHyze4AAAAJ;Dorothy  Byron;24321163,24872532
Sw46W00AAAAJ;Jonathan J. Halvorson;10.2307/1938723,24129905,24125488
62z2GPIAAAAJ;Patricia  Rodríguez;10.1899/12-005.1
_omJHHQAAAAJ;Catherine L Hein;10.1899/12-005.1
zKF9_HoAAAAJ;Ilkka  Kronholm;23262070
96qQHTsAAAAJ;Andreas  Wilkes;29738767
WlxDq2MAAAAJ;Kanchan Chopra;4255519
BEUV38sAAAAJ;Francisco J. Espinosa-Garcia;3246864
0sKW90MAAAAJ;Laura R. Stein;41319617
Dsika5UAAAAJ;Brant C. Faircloth;25680354
gouuTLsAAAAJ;John N. Williams;40390765,25654311
FFuSxIkAAAAJ;James  Thorne;40390765
aBHiawoAAAAJ;Simon T. Powers;41240753
UOvIYvIAAAAJ;José Leonardo de Moraes Gonçalves;24130648,24369082,24130483,23434830
DTKyjGMAAAAJ;Patrick  Gonzalez;20696407,43188446,40928119
T3JrKtAAAAAJ;Kirk  Klausmeyer;20696407
2aMoQkoAAAAJ;Meryl C. Mims;23144019
lz3ZuRYAAAAJ;Alex  Baumel;23064930
QyAhJDgAAAAJ;Deniz  Özkundakci;40928222
zl2DYyYAAAAJ;Hamish S. Greig;25661115,23213771
Cet2QJcAAAAJ;Sandra  Brucet;30244707
5fFc4KwAAAAJ;Xavier D. Quintana;30244707,23434373
HKQkeYcAAAAJ;Anna  Badosa;30244707
h7SzwLMAAAAJ; José M. Álvarez-Castro ;4095370
NofL2xoAAAAJ;Deirdre E. Hart;10.2307/2680090,43752523,40065106
_fVs16oAAAAJ;Jianzhong  Yu;23786974
TAgMaSUAAAAJ;Dragan  Perovic;23786974
K2fD15gAAAAJ;Krushnamegh  Kunte;27743426,40235455
vxgTnIAAAAAJ;John I. Hammond;27651259,3893353
9gF1lakAAAAJ;Ahn-Heum  Eom;10.2307/3761643,40005627,4222561
p1r4kFIAAAAJ;Patrick Vinton Kirch;4253923
7kvqWW4AAAAJ;Bernardo  Lemos;3449002,1383563
EHUccUEAAAAJ;Thomas  Bataillon;24704045
COmkeDAAAAAJ;Anne C. Dalziel;41465349
sQdSoXkAAAAJ;Mahmud  Duwayri;23781522
sSiCEjYAAAAJ;Oliver  Berry;3591075,10.2307/1566037,41480359
1eUEhS4AAAAJ;Adriana  Montoya;40390480,10.2307/3761806
f18d5bcAAAAJ;Arturo  Estrada-Torres;40390480,10.2307/3761595,10.2307/3761829,10.2307/3761806,3762204
fVThQjgAAAAJ;Christopher L. Rowe;10.2307/1447729,10.2307/1564534,10.2307/1565152,10.2307/1565313,10.2307/1564535,4220975,24855518
2U3xarEAAAAJ;Len M. Hunt;41416679
ioaoZEkAAAAJ;Andrew A. Burbidge;10.2307/1442534,2846109,827577
wc0gL50AAAAJ;Giovanni  Bacaro;23264770,41508680
bY0a4DwAAAAJ;Faith  Kearns;29546170
mkMNn8oAAAAJ;Erik  Sperfeld;41319616,40859855
-F-MKiQAAAAJ;Jeremy  Van Cleve;3696911,24033700
_wpPZpkAAAAJ;John  Callaghan;3591353
uY1oifMAAAAJ;Nathaniel L Scholz;29546162
w9vttGoAAAAJ;Pascal  Neige;25150755,3554544,20445596,3595493,23014754,4096986
IOU9FbIAAAAJ;K.  Dhileepan;40390711
Ag_Ewr0AAAAJ;K.  Dhileepan;40390711
vkM1xGkAAAAJ;Eric C. Milbrandt;24321651
9D-WQesAAAAJ;Greg  Newman;41811393
Zo_TuDUAAAAJ;Eric  Graham;41811393
QlxRjroAAAAJ;Kevin  Crowston;41811393
R9mnanEAAAAJ;Dennis E. Desjardin;41761629,41761633,20488391,10.2307/3761764,10.2307/3793301,23055154,20444848,10.2307/3759830,23055292,10.2307/3760933,43923704,10.2307/3760684,10.2307/3760255,24637448,23055293,10.2307/3807751,10.2307/3761206,10.2307/3761000,10.2307/3761974,10.2307/3762085,20445028,10.2307/3759453,20444787,10.2307/3760445,10.2307/3760774,10.2307/3760711,3762348,27811056,10.2307/3760708,10.2307/3761253
c6GB0EIAAAAJ;Mario  Cohn-Haft;20183482,10.2307/40157530
eXw9gEgAAAAJ;A. Marm Kilpatrick;24872154
2p2CuwgAAAAJ;Sergey  Malyshev;24432183
jtty0dsAAAAJ;Elena  Shevliakova;24432183
Uv1sQxYAAAAJ;Justin  Sheffield;24432183
zf-JOigAAAAJ;Jorge L. Sarmiento;24432183
0-ffQocAAAAJ;Gregory R. Houseman;27650742,4496028,41059095
PeBeZ8cAAAAJ;Richard  Moore;40296285
PFsY1jsAAAAJ;Jason  Parker;40296285
58by80sAAAAJ;Miguel B. Gaspar;24829267
elosnWAAAAAJ;Alenka  Malej;23470528,24833565,24817267,24857873,24851866
5f0mq-8AAAAJ;Verónica  Fuentes;23470528
