,fullname
173891,Allen B. Crockett
173905,H. A. Thullbery
173908,G. R. ARCHER
173910,Scot  Libants
173914,William H. Aussiker
173928,Kelley  Tilmon
173941,Lloyd R. Davis
173942,Robert G. Sivinski
173943,Robert T. Sullivan
173950,Yuan  Zeng
173964,Lionel E. Taylor
173980,Edith Lorena Ordaz-González
173981,Imelda  León-García
173983,Raciel Hernández Hernández
173984,Santiago Vergara Pineda
173994,R. L. Mangan
173995,D.  Chapa
173998,J. R. Williamson
173999,R. A. Arancibia
174000,T. W. Zimmerman
174027,Jeff  Makinson
174052,Juliana  Malta
174053,Gustavo Ferreira Martins
174054,Ana Ermelinda Marques
174055,Patrícia Dias Games
174056,Maria Cristina Baracat-Pereira
174057,Tânia Maria Fernandes Salomão
174058,Ed  Hiestand
174065,Ari  van Tienhoven
174066,R. Bruce MacWhirter
174072,Sixto  Coscaron
174075, Gláucia B. Gonçalves 
174076,Carlos E. Silva
174077,Jeinny C. G. Dos Santos
174078,Eunice S. Dos Santos
174079,Edleide Leite Da Silva
174080, Adriana De Lima Mendonça 
174081, Maria Do Rosário Tenório De Freitas 
174082, Antônio E. G. Sant'Ana 
174094,Mohammed  Al Bowardi
174110,V.  Higgins
174146,Silvana  Lampert
174147,Alberto Luiz Marsaro-Júnior
174148,Miguel Francisco De Souza-Filho
174187,TERRY R. KRUEGER
174188,WILLIAM A. SEARCY
174231,G.U.  AHMED
174232,M. SHAH NEWAZ
174233,A.B.  TEMU
174252,E. G. Virla
174253,L.  Cangemi
174254,G. A. Logarzo
174275,CRAIG  ANDERSON
174285,T.  French
174305,S.N.  Pryor
174329,U.  Nienaber
174349,N.  Karabatsos
174350,M.  Godsey
174351,J.  Chang
174352,C. J. Mitchell
174367, Manfred Döberl 
174368,Alexander Konstantinov
174372,A.C.  Jermy
174381,Jhon César Neita Moreno
174385,W. B. Muchmore
174418,Arnold T. Gerstell
174421,Idwal Wyn Hughes
174431,Peter J. Marcotullio
174432,F. G. Buchenau
174451,Roy  Van Driesche
174514,Andrew J. Trease
174515,Antonella  Jara-Cavieres
174516,Matthew K. Christenson
174517,LAkshmi-Prasad  Potluri
174518,J. Kent Morgan
174526,Joanna Burger
174527,Stephanie Koch
174528,Caleb Gordon
174529,R. G. MUHL
174597,A. Fabiola Guzman
174642,Edson J. Hambleton
174670,Kathy L. Rocha
174671,Thomas  Mangine
174672,E. J. Harris
174709,César Andres Angel-Sahagún
174710,Javier  Farías-Larios
174711,Erik Arndt
174712,Susan Kirmse
174713,Catherine E. Long
174714,Thomas R. Juba
174716, Hitoo Ôhira 
174722,A.E.K.  TISSEVERASINGHE
174735,MARK JEROME WALTERS
174751,Renee  Dyson
174753,Rowland B. French
174757,Wavel A. Olson
174758,Dale  Kanehisa
174759,Tim T. Y. Wong
174781,Sam  Patten Jr.
174787,Susannah C. Buhrman-Deever
174788,Amy R. Rappaport
174796,E.  HEPWORTH
174801,Shun-Ji  Li
174802,Ju-Ping  Huang
174803,Yang-Yang  Chang
174804,Si-Yuan  Quan
174805,Wen-Ting  Yi
174806,Zi-Shu  Chen
174807,Shuang-Qing  Liu
174808,Xiao-Wen  Cheng
174809,Abbas  Ali
174810,R. G. Luttrell
174881,Linda E. Vardy
174899,Edward  Walsh
174907,J. A. Goolsby
174908,R. W. Alexander Jesudasan
174909,H.  Jourdan
174910,B.  Muthuraj
174947,Luis  Espino
174956,B.  Stokoe
174973,Richard J. Nielsson
174981,María Mateos-Rodríguez
174982,Len Thomas
174996,W.T.  STANBURY
174997,ILAN B. VERTINSKY
174998,J.  Balasch
174999,S.  Musquera
175000,L.  Palacios
175001,M.  Jimenez
175008,Joseph K. Balciunas
175010,Amparo  Beneitez
175014,A.  Javid
175015,P.  Guillebeau
175018,Luciano de Azevedo Moura
175024,Jean E. C. McNamara
175025,L. M. Humble
175035,Jenny M. Gavilanez-Slone
175044,F.C.  Ford-Robertson
175047,Nahum Marban Mendoza
175052,Li Bin Ma
175053,Sheng-Quan  Xu
175054,Gui-Hu  Wang
175056,Wendy L. Meyer
175080,Andrea  Worthington
175084,A. F. MITCHELL
175090,Robert  Schlamowitz
175091,Margaret T. Van Ryzin
175102,M. Brent Kelley
175103,Stephen W. Wingard
175136,I. H. Gilbert
175137,H. K. Gouck
175148,PHILIP  STEWART
175151,J.W-S.
175174,Rachel  Gardiner
175194,Daniell R. R. Fernandes
175195,Alessandra M. Vacari
175196,Elton L. Araujo
175198,Sergio A. De Bortoli
175199,Nelson W. Perioto
175201, S. Endrödi 
175205,Yosef  Orr
175211,Troels Eske Ortvad
175212,Hiroyuki Yoshitomi
175215,J.  HARRY
175216,G.  SMITH
175217,GORDON R. BAILEY
175222,Laura Jean McCarley
175223,EMILY B. MORRISON
175224,TRIA B. KINNARD
175225,IAN R. K. STEWART
175226,JOSEPH P. POSTON
175227,DAVID F. WESTNEAT
175247,Kevin R. Hinson
175250,P.  Coronado
175251,M.  Taher
175276,L. A. Nickerson
175277,M. J. Bechard
175284,Huey I. Borders
175291,Martin B. Stein
175320,BIRGER  SOLBERG
175328,Dale A. Halbritter
175329,Jaret C. Daniels
175330,Douglas C. Whitaker
175346,HANS (J.A.) VERWEIJ
175347,IGINO M. EMMER
175349,Joe C. Ball
175373,Sonja Teichert
175382,Sarah C. Schneider
175390,Chun-Lin Li
175394,RODOLFO  SALAZAR
175395,MARIANO  QUESADA
175409,James V. Capogreco
175410,B. R. Choudhary
175411,S. R. Meena
175412,Judith S. Weeden
175415,Sue Simon
175418,Nicola A. Irvin
175424,Zhitao Zhang
175425,Hanwu Shang
175434,Carlos  Lehmann V
175435,J. R. Silliman
175467,Rose  Koenig
175472,R. R. Pelosi
175473,E. E. Killer
175474,N. B. Nikitsky
175492,Bradley A. Pickens
175496,DUNCAN  POORE
175510,Pang Xiongfei
175511,Yu Guoyue
175518,Claire E. Sanders
175551,Daniel Zamora Mejías
175552,Maria Esther Mendez Puga
175568,Donald L. Bailey
175569,P. M. Bishop
175581,Alexandre  Santos
175582,Ronald  Zanetti
175583,Roosevelt P. Almado
175585,Joseph L. Stewart
175590,J. J. Duan
175592,J.  Wildonger
175593,P. B. Taylor
175594,S. E. Spichiger
175602,Jorge E. Valenzuela
175637, Maria Do Rosário T. De Freitas 
175638, Adriana L. Mendonça 
175639,Carlos E. Da Silva
175640, Alana L. Mendonça 
175641, Antônio Euzébio G. Sant'ana 
175644,Ali  Ahadiyat
175645,Anousheh Mozaffar Zangeneh
175649,W. T. McClelland
175650,Ruth M. Murillo
175651,E. O. Ostmark
175670,Edwin Abreu Rodriguez
175675,R.  Paulian
175678,Jesús  Orozco
175707,M. SARWAT HUSAIN
175708,WALTER B. WALLIN
175709,Barbara Denniston Snapp
175716,Ariel F. Zych
175741,Lisa  Kutschbach-Brohl
175742,Richard B. Chipman
175743,Laura C. Francoeur
175776,J. F. Illingworth
175779,M. V. N. D'OLIVEIRA
175780,E.M.  BRAZ
175799,A. E. Gordon
175820,Zilton Alves Souza-Filho
175821,Elton Lucio De Araujo
175822,Jorge Anderson Guimarães
175847,D. L. Mays
175856,RUDOLF  HEINRICH
175880,Edward  Jones
175903,Robert D. Arthur
175909,D. K. Reed
175910,C. R. Crittenden
175912,Ronald  Ochoa
175922,M. G. Volkovitsh
175923,A. N.
175924,Sagrario  Gámez-Virues
175925,Aaron T. Boone
175953,P. V. Collings
176026,Willa K. Baum
176027,Lois Chambers Stone
176029,G. Davidson Woodard
176030,John B. Cowan
176047,Prasanta K. Chaudhuri
176048,Dilip K. Guha
176055,Tomohiro  Asaga
176056,Yoshikuni  Ohyama
176102,Helen L. Puckey
176103,P. W. Fattig
176104,CHAD T. HANSON
176105,MALCOLM P. NORTH
176113,Erin  Wiancko
176114,Svetlana Nikolaevna Myartseva
176115,Juana Maria Coronado-Blanco
176120,N.  Hamada
176121,A. M. O. Pes
176122,L. M. Fusari
176136,Cibele S. Ribeiro-Costa
176148,P. K. Kleintjes
176182,Hüseyin  Özdikment
176183,Özgür  Koçak
176190,DETLEF  NOACK
176193,Elmer C. Aldrich
176227,Michael G. Reeder
176231,Ellen  Paxinos
176236,Frances Rothwein
176238,Carlos Massuretti De Jesus
176239,Antonio Teruyoshi Yabuki
176240,Patrick J. Dailey
176241,David L. Fischer
176259,Ana M. González-Prieto
176270,Pascale  William
176271,Zuriany  Olive
176328,Yangjiang  Lu
176357,Tara Lynne Maginnis
176364,JOHN  PITT
176371,M.R.J.
176373,Y.  Bédard
176407,R. T. WHEELER
176440,Kenneth L. Simpson
176441,Hibernicus
176445,D. C. Henne
176449,RICHARD L. RUSSELL
176456,Melissa R. Martin
176459,Robin Hirsch-Jacobson
176460,Emily E. Tewes
176486,Louisa Henrietta Sheridan
176545,A.  McCOUBREY
176551,William M. Granfield
176552,Jay B. Karren
176563,C. D.
176580,Jennifer A. Pretare
176582,Antonio W. Francis
176611,W. D. Hincks
176619,Andrew W. Laurenzi
176638,JENNIFER L. G. WONG
176639,HUGH L. BLACKETT
176640,C. R. Patrick
176653,Jerome J. Korol
176659,Sam A. Apeji
176669,F. S. B.
176678,W.  SCHUTZBACH
176680,Lilian A. Saldanha
176681,Neliton M. Silva
176682,Henry  Murillo
176696,Dwight  Bennett
176726,Jessica Platt Bird
176748,K. B. SHRESTHA
176749,J. W. TURNBULL
176756,John M. Fredrick
176760,K.F.  SALIFU
176778,Joshua Hull
176779,Angus Hull
176780,William Reisen
176781,Holly Ernest
176786,Fred L. Watson
176822,Dori E. Nava
176823,Adriana M. Nascimento
176824, César P. Stein 
176825, Marinéia L. Haddad 
176826, José M. S. Bento 
176832,C. D. O'Donoghue
176839,P. H. Darst
176840,M. H. Farrier
176843,Giulio Cuccodoro
176853,Salvador Flores Breceda
176864, Gonzalo Gaviño T. 
176868,M.  Pitts
176870,A. G. Himler
176871,M. M. Yospin
176872,K. R. Helms
176873,E. L. Harken
176874,J.  Gallaher
176875,C. E. Dunning
176876,M.  Nelson
176877,J.  Litsinger
176878,A.  Southern
176879,T. L. Burgess
176885,J. Scott Ferguson
176911,Betty  Cook
176923,Harold George Scott
176928,A·  Tischer
176949,Lucio R. Malizia
176957,S.  Romero
176958,A.  Roda
176959,C.  Mannion
176960,W. B. Wu
176961,T. S. Hong
176962,L.  Zeng
176963,Y. J. Xu
176964,D. L. Huang
176965,J. M. Chileshe
176966,J. T. Chen
176967,C. D. Yi
176968,X. Y. Liu
176969,D. H. Lu
176976,Mollie  Brvan
176977,MARK F. RIEGNER
176982,Carlos M. González-Fischer
177008,Emerson Medeiros Del Ponte
177009,Diogo Ricardo Goulart Pereira Rego
177010,Alvin  Wilson
177044,Susan J. Hurley
177045,James N. Hall
177053,Luis J. Joly
177056,Michelle L. Crozier
177068,Gerard  Botman
177069,Luc  Coenen
177071,J. R. Willard
177079,Theodore J. Zenzal Jr.
177098,Homer E. Bratley
177105,Andrew  Herzog
177123,FERENC  HEGYI
177126,R. L. Fye
177132,Milam B. Cater
177150,Alexander  Putchkov
177151,I-Hsin  Wu
177153,J. S. Bacheler
177160,Klaus-Werner Anton
177163,Kasey M. Yturralde
177182,Fred W. Haecker
177232,Thomas H. Lillie
177233,Oswaldo  Garcia-Martinez
177234,Ernesto  Cerna-Chávez
177235,Agustin  Robles-Bermudez
177283,D.N.  McLUSKEY
177284,D.N.  McCLUSKEY
177289,JEFFERY A. SAYER
177290,PIETER A. ZUIDEMA
177291,META H. RIJKS
177300,Y.  WENG
177318,R.  GOODCHILD
177326,R. L. Witt
177328,Estevam C. Araújo de Lima
177338,J.J.  MacGregor
177350,Fernando Z. Vaz-De-Mello
177351,Violeta Halffter
177362,Donald A. Nordlund
177400,Karl J. Stone
177403,Lois Chambers Taylor
177443,Patrick R. Beckerton
177449,Rebecca A. Hylton
177450,Teresa E. de la Fuente
177456,B. P. Moore
177488, Raúl E. Campos 
177540,Kenneth L. Esau
177556,Andre Larochelle
177611,Debbie  van de Wetering
177643,Jean-Françis  Giroux
177650,Howard A. Evans
177663,Michelle M. Halloran
177664,Margaret A. Carrel
177681,Enrique  Morelli
177682,Patricia  González-Vainer
177695,A.  Hechmer
177705,Marsha  Landolt
177706,M. J. PENISTAN
177715,Francisco Pacheco M.
177718,Yrma Lopez-Guerrero
177777,John A. Wagner
177789,Alan H. Roberts
177795,G. E. Calcagno
177796,M. T. Vera
177797,F.  Manso
177803,Yun-Qiu  Yang
177804,Xu-Hui  Gao
177805,Yan-Zhuo  Zhang
177806,Long-Wa  Zhang
177807,Xiao-Chun  Wan
177821,Zdzislawa Teresa Stebnicka
177849,Claude T. Adams
177862,Hyojoong  Kim
177865,Chas. W. Bowles
177917,Nurit  Carmi-Winkler
177923,Walter  Sanchez
177957,Miguel A. Alonso-Zarazaga
177970,S. K. Narang
177971,M. E. Degrugillier
177990,Reed W. Ferris
178005,Lloyd R. Davis Jr.
178006,J. D. Bradshaw
178015,Alberto Ballerio
178039,J. A. Cornell
178045,Brent W. Murray
178046,Robin N. Beech
178048,N. M. D.
178064,P. G. Adlard
178067,Eileen M. Drage
178075,Teresa F. DeGolier
178084,Scott  Ludwig
178085,Ronald  Oetting
178101,Gabriel Luiz Padoan Gonçalves
178102,Leandro do Prado Ribeiro
178103,Leila  Gimenes
178104,Paulo Cezar Vieira
178106,Moacir Rossi Forim
178107,João Batista Fernandes
178112,Peter A. Adams
178121,H. M. L. BOLUS
178179,A. Robin Torres
178180,Barry Hicks
178200,Shuai  Yang
178201,Lanlan  Han
178202,Kuijun  Zhao
178203,Lefu  Ye
178205,Jonathan  Liria
178218,K. J. Crockford
178219,W. B. Baylis
178220,A. J. Dunsdon
178221,J. M. Wanyancha
178222,J. A. Wright
178254,B.T.  STYLES
178255,William A. Calder Jr.
178262,Zong-Qing  Wang
178263,Shun-Hua  Gui
178264,Yan-Li  Che
178284,Niilo Virkki
178291,Elena  Raimúndez-Urrutia
178300,Stephen R. Penn
178310,Everardo  López-Bautista
178311,Haidel Vargas Madriz
178323,J.A.B.  PRIOR
178324,D.F.  CUTLER
178329,Teresita  Murillo
178330,Luis Fernando Jiron
178358,Karla M. Addesso
178359,Barry C. Kostyk
178360,Heather J. Mcauslane
178378,Danial M. Mulcahy
178380,Kent  Hampton
178381,Donn  Johnson
178393,Ricardo  Santos
178394,Artur  Serrano
178401,Jarrod T. Hardke
178402,Joshua H. Temple
178420,D. S. Lesiewicz
178445,Nicole  Krauss
178454,P. R. O. Kio
178456,Maritza Romero
178476,Andrew V. Frolov
178482,Pengyan  Li
178483,Bingxu  Chen
178484,Yizhi  Dong
178485,Qiong  Yao
178486,Shu  Xu
178487,Kaige  Chen
178488,Gengmin  Chen
178499,Segundo R. Nuñéz-Campero
178500,Guido A. Van Nieuwenhove
178501, Julián Blackaller-Bages 
178504,M. V. Herlihy
178505,Kim  Kortekaas
178506,Roderick R. D. van Krimpen
178507,Rien  van Wijk
178508,Saskia  van der Zanden
178509,Hans H. de Iongh
178539,H. C. McDaniel
178540,Robert E. Loeffel
178543,C. H.
178545,Danise L. Johanowicz
178580,Igor M. Sokolov
178581,Christopher Carlton
178582,James F. Cornell
178592,Gerard A. Bertrand
178601,S. G. P. HART
178620,Sudipto  Banerjee
178625,Taali M. Rooneem
178636,Edward Earle Southwick
178637, Manuel Lara Villalón 
178639, Luis Hernández Sandoval 
178646,Catherine  Poussart
178650,D. H. Cha
178652,J. J. Adamczyk
178653,R. L. Gilbride
178654,T. S. Clepper
178655,P. E. A. Teal
178660,R. G. Rosenstiel
178675,Rejane R. De Moraes
178698,Alfred C. Shelton
178700,F. H. Fowler
178705,Patti Katusic Malmborg
178706,W. H. Urrutia
178707,A.  Mafra-Neto
178708,F.  Adams
178709,Heather  Jezorek
178721,David L. Stephan
178739,Mark P. Culik
178740,David Dos Santos Martins
178741,José Salazar Zanuncio Junior
178742,José Aires Ventura
178743,Ana Lúcia B.G. Peronti
178744,Keremane  Manjunath
178760,Timothy L. Stone
178768,Mariana  Cariello
178801,JEAN-PAUL  JEANRENAUD
178802,IAN  THOMPSON
178815,I.  Docavo
178816,X.  Pardo
178817,Sue Blodgett
178818,Mark Majerus
178822,Yrma Lopez Guerrero
178836,Richard Elton Miller
178837,John  Studley
178841,Michael K. Simms
178867,T. L. Whitfield
178871,Christopher B. J. Cody
178891,Jennifer K. Richardson
178920,Alan  Clare
178921,Kimberley E. MacDonald
178933,Mark A. Hitchcock
178943,Isabelle  Robichaud
178944,Sebe A. Brown
178950,Hasan  Koç
178951,P. J. Caldwell
179000,K. D. MENON
179004,Suzanne M. Joy
179027,Tom W. Coleman
179032,Reginald P. Webster
179049,G. A. Hutchinson
179065,Alyssa  Anderson
179066,Petra  Kranzfelder
179067,Alexander  Egan
179070,A.  Silveira-Guido
179071,T. B. Hull
179078,Snehlata  Mathur
179079,Melissa A. Cook
179080,Bradley J. Sinclair
179081,Sheila M. Fitzpatrick
179086,William Humphrey Gillett
179113,Herndon  Dowling Jr.
179119,DOMINIQUE  LOUPPE
179120,N'KLO  OATTARA
179121,ALASSANE  COULIBALY
179124,Badar  Munir
179127,C. P. Wheater
179128,Rahul  Joshi
179129,Jagbir Singh Kirti
179130,Navneet  Singh
179132,DENNIS  RICHARDSON
179135,R. M. Giblin-Davis
179155,A. H. F. BROWN
179156,A.  CARLISLE
179157,E. J. WHITE
179190,Daniel P. Cullen
179209,L. S. Hesler
179210,M. A. Catangui
179212,J. B. Helbig
179213,A.  Mesman
179214,Enrique  Baquero
179215,Gurupada  Mandal
179216,Rafael  Jordana
179271,Janet A. Hamber
179289,P. R. Everson
179290,B. C. Everson
179298,Rosalinda Ferrer
179307,D.A.K.
179314,Louis J. Metz
179315,Maurice H. Farrier
179320,S. A. Neustein
179321,Huan-Huan  Tao
179329,Sarah L. Landrum
179344,Daniel Antonio Vázquez-Covarrubias
179345,Federico  Castrejón-Ayala
179346,Rodolfo  Figueroa-Brito
179347,Roberto Montes Belmont
179362,Enrique  Medianero
179363,Miguel Paniagua C.
179364,Héctor  Barrios
179369,Nuria Trotta-Moreu
179373,H.  KEIDING
179374,D.  WEBB
179416,N. D. Epsky
179417,A.  Jimenez
179418,B. D. Dueben
179420,J.  Rizzo
179421,M.  Camino
179422,F.  Jeronimo
179425,J. W. Garner
179444,L.  Glass
179446,Eric C. Atkinson
179460,Carmelo A. Núñez
179481,A. J. Martinez
179482,E. J. Salinas
179493,Linda A. Lyon
179538,M. M. Abou-Setta
179539,R. W. Sorrell
179540,Colette T. Baril
179545,Gláucia Barretto Gonçalves
179546,Jeinny Christine Gomes Dos Santos
179547,Eunice Soares Dos Santos
179548,Ruth Rufino Do Nascimento
179549, Antônio Euzébio Goulart Sant'ana 
179550,Roberto Antonio Zucchi
179572,B. Glen Lee
179581,Joseph  Maillard
179598,H. C. Johnson
179610,Sarah Sonsthagen
179612,J. Roberto Panaia
179613,Domingos  Gallo
179641,Hany Ahmed Fouad
179642,Silvia  De Sousa Freitas
179670,Dee Colby
179671,Dorothy Prowell
179675,Jerry  Hupp
179686,M. W. CUNNINGHAM
179696,H.  Glenn
179708,E.F.  BRUENIG
179710,Y. Q. Tang
179712,R. T. Mayer
179717,Jon C. Bedick
179737,Macarena  Castro
179738,Jose A. Masero
179773,L.  Guizar-Guzman
179802,J.  Ortega-Ruano
179810,Kimberly B. Richardson
179826,Robert M. Platte
179827,Edward J. Mallek
179842,ALEKSI  LEHIKOINEN
179843,MARKUS  ÖST
179844,TUULA  HOLLMÉN
179845,MIKAEL  KILPI
179860,GABRIEL E. HEMERY
179861,SERGEI I. POPOV
179862,Alan D. Mudge
179863,Todd B. Adams
179877,Ozaki  Kiyoaki
179878,Guzzetti  Brian
179879,Higuchi  Hiroyoshi
179881,Shimada  Tetsuo
179883,D. E. Silcox
179885,Aaron N. Schad
179903,R. C. Adair
179904,L.  Le Fevre
179929,R. K. Vander Meer
179930,J. A. Seawright
179937,Jason M. South
179941,Erick A. García-Trejo
179948,Sterling  Bunnell
179949,E.M.  SHUMBA
179950,S.  BAKER
179966,Jianjun  Yue
179967,Zhen  Yan
179968,Cheng  Bai
179969,Zetan  Chen
179970,Weifu  Lin
179971,Fangzhen  Jiao
179992,Fernando Osvaldo Kravetz
180001,J. Mckern
180010,Shawna  Pelech
180023,E. B. Richards
180025,D. J. Danbury
180026,Stuart S. Mallinson
180067,Denny  Zwiefelhofer
180068,Nate  Maryanski
180071,Baron  Wilson
180087,Gladys C. Barnard
180128,W. A.
180137,Nick  Porch
180147,José E. Sánchez
180148,Anaximandro  Gómez
180150,Sofia  Campiolo
180156,ANXIOUS  MASUKA
180167,John Fitzwalter Walsh
180173,SIMON M. SAULEI
180174,JOHN A. ARUGA
180195,R. I. Macalpine
180200,ELIZABETH  COLLINS
180202,Stephanie L. Richards
180203,C. Roxanne Connelly
180204,Timothy  Hope
180205,Ricardo  Ortiz
180301,JUVENAL  VALERIO
180308,Sibylle  Schroer
180309,Gregory  Hodges
180317,Christopher  Tozier
180320,Robert H. Benson
180343,JAMES  OGILVIE
180353,A. R. Shott
180369,T. H. BOOTH
180370,J. C. SAUNDERS
180375,Haidel  Vargas-Madríz
180376,Jorge  Vera-Graziano
180377,Cipriano  García-Gutiérrez
180378,Claudio  Chavarín-Palacio
180380,Jill D. Bluso-Demers
180390,Alan E. Appleby
180426,Michael  Gates
180437,Juan Rodrigo Salazar
180438, Carlos Céspedes Acuña 
180440,M.  Buck
180441,W. A. Rawlins
180451,D.  Berry
180452,L. L. Boyd
180453,C. A. Rieck
180458,L. J. B. Laurenson
180464,Edmund  Heller
180518,H.  Delfín-González
180519,M.  Bojórquez-Acevedo
180520,Jennifer I. Weiser
180521,Adam  Porth
180522,David  Mertens
180536,Susan J. Dirks
180552,E. L. Sumner Sr.
180557,A. L. Newman
180558,M. H. Warner
180559,J.  Kaiwi
180560,NEAL D. NIEMUTH
180561,JOHN W. SOLBERG
180563,J. S. Yadav
180564,R. K. Pillai
180565,Karamjeet
180569,Tanjim T. Hossain
180570,Ali  Fulcher
180571,Claudia  Davidson
180575,T. A. AFOLAYAN
180576,S. S. AJAYI
180577,S. A. Ajayi
180611,Floyd P. Harrison
180636,R. S. Pfannenstiel
180637,J.  Barrera
180638,O.  Avila
180639,J.  Monzón
180641,Jesse  D’Elia
180642,Collin  Eagles-Smith
180643,Jennifer  Gervais
180662,Glenn E. Studebaker
180663,Timothy J. Kring
180665,Victoria  Finnerty
180686,Sundar  K. S. Gopi
180703,May Buckingham
180716,Brett S. Nietschke
180717,Daniel M. Borchert
180718,Roger D. Magarey
180744,Jing-Shiun  Lin
180745,Yen-Chiu  Lan
180746,Kurtis Jai-Chyi Pei
180770,Tara J. Conkling
180772,Melanie R. Colón
180775,Felipe G. Prieto
180798,Tai-Ping  Wu
180799,Quan  Hu
180800,Tong-Yan  Zhao
180801,Jun-Hua  Tian
180802,Roberta Brett
180860,E. A. SMYTHIES
180878,Brian J. Cabrera
180888,Francisco Javier Villalobos
180889,Alfonso Diaz
180899,S. W. Eaton
180905,Alan S. Robinson
180906,Carlos  Caceres
180907,Amirul  Islam
180910,J. L. Eastin
180914,P.  KENNEDY
180915,J. K. DEDAN
180931,R. W. Storer
180939,Pedrito Silva
180950,Songtao  Lin
180951,Zhengwang  Zhang
180956,Veronica  Palomera
180957,Sabrina  Bertin
180959,Domenico  Bosco
180975,G. L. Crane
180976,C.  Mellinger
180977,Dreama  Clark
180998,Armando  Equihua
181000,Les D. Murray
181030,André Rodrigues De Souza
181031,Bárbara Bruna Muniz Figueiredo
181032,Bruna  Ribeiro
181033,Roberta  Pinheiro
181034,Luciana  Justino
181062,Pedro  Figueroa-Castro
181063,Juan Fernando Solís-Aguilar
181064,Héctor  González-Hernández
181065,Ramón  Rubio-Cortés
181066,Eliú G. Herrera-Navarro
181067,Luís Emilio Castillo-Márquez
181096,J. R. Faleiro
181097,H. A. F. El-SHAFIE
181098,A. M. Ajlan
181099,A. A. Sallam
181151,Bill  Hilton Jr.
181172,Anna  Head
181174,W. J. Mullins
181175,M. W. Siebert
181182,David M. Santos
181183,Josep  Garcia
181196,Bizarre
181197,S.  Correale
181210,Curtis P. Ewing
181217,Hiroyuki  Yoshitomi
181234,Charles Matthew Bueler
181260,Ezequiel Da Glória De Deus
181261,Luana Dos Santos Pinheiro
181262,Camila Ribeiro Lima
181263,Maria Do Socorro Miranda De Sousa
181264,Jorge Anderson Guimarāes
181269,Joseph R. Bohne
181271,Pat A. Deibert
181272,Scott C. Gardner
181273,Mark A. Hilliard
181275,Susan M. McAdam
181278,L.  Mitchell
181279,Eric V. Rickerson
